KernelId,UserId,CurrentKernelVersionId,DownloadStatus,FolderBatch
12064032,5547117,43971345,ok,0
12072306,4928616,43996497,ok,0
12084729,2333449,43984217,ok,0
12042497,4878192,43976015,ok,0
12079120,4696991,43965316,ok,0
12076924,1759088,44415577,ok,0
12075894,2147828,43983864,ok,0
12084757,2147828,43990497,ok,0
12071614,5256040,44002351,ok,0
12074619,5827002,43974142,ok,0
12078881,5882207,43962574,ok,0
12086305,5319552,43991379,ok,0
12077976,5052355,43958870,ok,0
12062096,5812791,44087372,ok,0
12080414,5854184,43970570,ok,0
12068578,5600442,44366659,ok,0
12063202,1371522,43980921,ok,0
12079894,5743157,43965824,ok,0
12054581,5692347,44697898,ok,0
12034973,4982629,44590803,ok,0
12082803,5742363,43981570,ok,0
12075824,5879181,43957553,ok,0
12077537,3231230,43957611,ok,0
12086749,5872345,43997651,ok,0
12085865,5817315,43993820,ok,0
12047698,5692488,43968595,ok,0
12087450,4022566,43997126,ok,0
12086045,2970005,43992897,ok,0
12087204,2970005,43996023,ok,0
12085813,5694370,43988984,ok,0
12084869,4233951,43985611,ok,0
12065667,5607498,44141048,ok,0
12083417,5876818,44250494,ok,0
12059132,5808247,44283892,ok,0
12085045,3292233,43987326,ok,0
12079556,5125179,43964783,ok,0
12080476,5882640,44104701,ok,0
12081755,3434845,43975061,ok,0
12068440,5678304,44655382,ok,0
12080268,741843,43967412,ok,0
12083034,5756635,43977704,ok,0
12081803,3750151,43973850,ok,0
12049638,5607372,44093242,ok,0
12076509,5767709,43971012,ok,0
12078908,4702722,43963258,ok,0
12077263,5805722,43958426,ok,0
12053852,4240350,43993302,ok,0
12079505,5677725,43965475,ok,0
12085845,3292233,44025032,ok,0
12078090,4642465,43984411,ok,0
12085395,3835322,43991311,ok,0
12087244,1879098,43998986,ok,0
12086184,4864109,43992602,ok,0
12035128,2838883,44167720,ok,0
12076976,5125179,43955483,ok,0
12061993,5474222,44324338,ok,0
12082797,2363180,43977207,ok,0
12078461,4936852,43962084,ok,0
12098096,5003905,44042932,ok,0
12080676,3135039,44010542,ok,0
12091196,2821211,44056388,ok,0
12035441,5712999,44050685,ok,0
12100210,4855459,44046938,ok,0
12094211,1489927,44022071,ok,0
12069559,5820955,44013124,ok,0
12053585,5813303,44054692,ok,0
12064144,4650672,44239576,ok,0
12092390,5743157,44015474,ok,0
12035412,5713019,44043245,ok,0
12081817,3480990,44045775,ok,0
12095943,3353171,44031699,ok,0
12095794,4440262,44029530,ok,0
12092043,5743157,44014444,ok,0
12093634,5211658,44022915,ok,0
12090694,5849142,44012037,ok,0
12096971,5818346,44034670,ok,0
12095473,5859917,44026833,ok,0
12091259,3765312,44012940,ok,0
12095793,3650349,44036067,ok,0
12097124,5469303,44037718,ok,0
12076600,4441269,44043012,ok,0
12099821,2879683,44060834,ok,0
12095485,5865122,44028601,ok,0
12088207,2127105,44009865,ok,0
12098570,4138550,44050834,ok,0
12088338,5281089,44011566,ok,0
12078540,5474222,44044795,ok,0
12102122,5817276,44055096,ok,0
12101417,3514574,44050428,ok,0
12079157,3680821,44038136,ok,0
12079055,3135039,44010791,ok,0
12090646,5885062,44009785,ok,0
12093984,5885845,44020999,ok,0
12092564,2782120,44035395,ok,0
12094775,5786541,44024923,ok,0
12091765,4917691,44023941,ok,0
12069199,3297679,44065198,ok,0
12091409,2065110,44012661,ok,0
12095379,5023858,44027416,ok,0
12091302,5525976,44019445,ok,0
12077935,2688478,44033384,ok,0
12095843,3292233,44028549,ok,0
12058888,4414414,44022634,ok,0
12101450,5756551,44051001,ok,0
12094166,5884343,44028030,ok,0
12101339,3199897,44052233,ok,0
12102322,5817284,44473427,ok,0
12099548,5469303,44044633,ok,0
12090211,5154156,44026276,ok,0
12099470,5882770,44091852,ok,0
12089879,5817285,44053857,ok,0
12079588,1370834,44033008,ok,0
12090440,5885014,44014449,ok,0
12094247,5027949,44027487,ok,0
12085039,4719557,44017038,ok,0
12099155,5469303,44042847,ok,0
12093617,4292287,44027126,ok,0
12095198,4695534,44025577,ok,0
12101216,4377583,44053376,ok,0
12098328,2910357,44039340,ok,0
12100530,5572675,44054932,ok,0
12092007,2105138,44016515,ok,0
12097353,5408451,44056597,ok,0
12090395,5501444,44007914,ok,0
12101210,1441721,44055118,ok,0
12099282,2689657,44042682,ok,0
12086372,5462160,44022291,ok,0
12096656,5751414,44032079,ok,0
12094680,3579855,44024074,ok,0
12091269,3277621,44010363,ok,0
12097730,5469303,44037526,ok,0
12099103,1370834,44042621,ok,0
12095910,2641331,44028895,ok,0
12088161,4339173,44029379,ok,0
12088018,5636692,44174791,ok,0
12098142,3174938,44039046,ok,0
12099179,3514574,44041745,ok,0
12102048,5208923,44116128,ok,0
12092954,5720819,44024816,ok,0
12080924,3794038,44024210,ok,0
12089261,4507998,44006687,ok,0
12080310,4292209,44011377,ok,0
12098607,5648680,44039858,ok,0
12100792,5839713,44051950,ok,0
12090958,5805306,44049771,ok,0
12091490,349331,44012496,ok,0
12091587,2772049,44019743,ok,0
12055730,4683341,44029217,ok,0
12063015,3723447,44046308,ok,0
12093076,5122299,44017912,ok,0
12095840,4045373,44031399,ok,0
12090914,5474210,44009401,ok,0
12069089,3478665,44009287,ok,0
12051516,3723447,44045968,ok,0
12075220,5716998,44024502,ok,0
12096178,5340110,44039660,ok,0
12045444,4957118,44024965,ok,0
12086619,4507998,44001197,ok,0
12062189,3723447,44084088,ok,0
12110031,1131173,44083203,ok,0
12086223,1102571,44059206,ok,0
12035590,4518879,44069289,ok,0
12104468,5407818,44562354,ok,0
12102333,5740111,44056534,ok,0
12061556,2200393,44073024,ok,0
12099426,5610421,44094915,ok,0
12058105,5862280,44089646,ok,0
12051394,5869416,44098245,ok,0
12104031,5841491,44066011,ok,0
12107445,2139525,44089953,ok,0
12104692,5874317,44062852,ok,0
12112790,5862422,44096317,ok,0
12103642,4070969,44061616,ok,0
12104525,5474059,44306434,ok,0
12109408,4242981,44095630,ok,0
12102551,5752458,44090081,ok,0
12108145,5877044,44151370,ok,0
12085930,4754086,44080228,ok,0
12082119,5547117,44104251,ok,0
12113515,4383304,44097214,ok,0
12062545,3723447,44084322,ok,0
12109101,5866744,44084185,ok,0
12057692,3723447,44066815,ok,0
12113237,5818864,44154499,ok,0
12111372,4149191,44092797,ok,0
12083759,4179860,44066300,ok,0
12052974,3723447,44059527,ok,0
12106284,3632839,44350145,ok,0
12109956,5890775,44087824,ok,0
12112514,5891564,44092475,ok,0
12061084,3723447,44082576,ok,0
12102337,5622277,44056409,ok,0
12102352,2075871,44058109,ok,0
12109025,1112251,44091661,ok,0
12107333,5889608,44073161,ok,0
12104871,4137838,44076701,ok,0
12045070,5681147,44087936,ok,0
12107937,5890098,44075291,ok,0
12097338,4377520,44081772,ok,0
12092022,404556,44085319,ok,0
12056816,5739228,44072463,ok,0
12055611,3723447,44058470,ok,0
12105844,5819506,44082739,ok,0
12059758,3723447,44080345,ok,0
12113699,5891892,44096683,ok,0
12061255,3723447,44083010,ok,0
12111831,5046402,44091001,ok,0
